,promptId,uniqueId,essay,evaluator_rating
10,1,1_137,"my education system is very important in life and it is a largest statement of your life .in this time sducation system is very harhfull and not controlled of our system because studend is not instresting in life ,my regarding this structure is given by more brag component.education system is depend our system ,education is me largest statement in our life and it is lagest state of component.all indian education working on the system .that system is also depends on our aim, and it's always circular working on education. my accordindg education system is change and shuold be give more apportunity in education system.my life is my brag  .......,present time our culture is not good or better but when change in the more structure of our life ,more powerfull of the basic knowledge in our life ,but present time is not depending my life in the education system becoz my society is not consert in our system ,the latest structure in present time working and dependend on coaching structure far the basic education and higher education system .LIFE IS REAL LIFE IS EARNEST DUST DOU ART TO DUST RETURNESTin this time is not dependent our system ,and also depends our simple knowledge in our life and also effectet in our life our background condition ,and all education system is changeable to our society culter.",0.5
11,1,1_213,"I strongly agree with the statement that the defined curriculum of our education system leaves no room for imagination and creativity. The tough schedule in the schooling results in the improper all round development of child. They dont have time to imagine and learn new things. They are always busy in their tight schedule. After schooling, they have to do extra tutions in order to improve their performance. All the time are wasted in these schedule and they don't have enough time to play and do the other things. This results in the improper development of child and these can also be seen physically, as all round development is required for the child. Due to busy schedule, parents also don't have enough time to take care of their children. They are dependent on the teachers and tution teachers for their child development. All they want is that their child should study in which way they dont know. According to me, their is need of change in education system, so that the child not only study but also do all the extra work including playing games, for the all round development of the child. The education system should me more interactive, so that children also enjoy while they are playing. This new technique will help not only children but also their parents. In this way child will learn and grow with innovative mind. Innovative mind always help in life and this can be achieved by only changing the education system so that the coming youth learns while playing which will be the best education system for the society. This will allow the parents to also pay attention on their work.",3.5
12,1,1_210,I think creativity is the most important part of student's education life.if imagination and creativity are not present in our education system then it is faliure of our system.i think if any student can't imagine whatever he or she studying then it's not fulfil their education.i think imagination is much bigger than knowledge.imagination gives you more satisfaction than knoewedge.in normal life creativity is so important.it gives you right lesson how to prepare you in problem.if you have to quality in creativity then you are lucky because you have the most valuable god gifted prize in your life.and it so important for student life.every famous person have this quality.so i think if any student has any imagination and power and they utilise this power in workplace so he will got advanced promotion in his life.,2.0
13,1,1_307,"CURRICULUM OF OUR EDUCATION SYSTEM- As that we know that now a india is a progressive developing country so according to my self now a poor department of india so this is a education depertment. And now a days Indian School is moor need to developed in india so current education system of india is very poor any .if we want to developed to our indian country the we have to need of improvement of education system ., As that we come to know that India groth rate is 8.5 (approximately) considered but the Education department is not improveed in the groth rate so in from 2000 any effective order not taken by the government of India And Heigh Court so .These condition is created of indian govt school due to privete school .So leader is responsible to this problems and we come to know that Shri Nrendra Modi Ji have to face of more problems at current time so these is the effects of education of indian As that our Indian govt started is clean india ( Swach Bharat Abhayan ) so if The education system is improve then they scheme is not need to clean because the educated person is not create the rong sitiation in our india so according to myself firstly need to improve the our education system that system is run now a days so that is not satisfy yo our indian educatino depertment and according to me if me want to developed to our country then we have to need firstly improved to our education ststem ten out country is developed oursely because good education system is the best option to improve and development of our countryso now a dayswe have to need focus to our current education system of our country .",2.0
14,1,1_14,"Yes, i totally agree with the above topic that The tightly defined curriculum of our education system leaves no room for imagination and creativity. In today's life there is a burden of tight syllabus on the students. At the starting of semester, quizes are conducted every week, when student get rid of them, mid semester exams are the new devil stands in front of him/her and his/her creativity. After the festival of these quizes and mid sem, the bombs of assigment is thrown on students and he/she starts writing and writing them day and night. Now we students thinks that we are free, but there is another capsule of internal viva, eat it. After eating that bitter capsule of viva, university announces the date sheet of final exams and external viva. So student does not find time to imagine new things. And if the student is preparing for any exams like GATE, CAT. Then he is like a donkey which is overloaded, he has to run to coachings after collage. After this busy schedule a person can not resist himself/herself to lay on bed and sleep. This tight curriculum is a curse on the creativity of student as he has to perform like a machine in order to stand in the queue of good students which do not let him to think that he can create something better from the existing sources.When one person goes into a routine life then his/her mind stops thinking differently/creatively, then he/she only thinks to complete assignments, grasp maximum answers, give answer of every question in the class room so that teacher think that he/she is a good student and in this way can get good marks in viav and practical exams. By completing these expactations of parents and teachers he/she forgot to think about himself/herself, and this diet of the person is also affected. Student start late night study, do not take proper diet, eats junk food, faces dark circles below eyes due to those late night studies. Therefore, i think that this tight curriculum must be chaned so as to save the creativity of the students as well as nation.",3.0
15,1,1_166,"In today&#039;s life education from an unflattering point of view - may be because it is destroying our fascinating, curious minds. I don&#039;t claim to be an expert in education. I m still a student and I speak for myself. I believe that students should have a voice in their creativity and imagination as well. Most of the peaople have written ways to change the education,but what good has it done if we are leaving out the voice of students.    It is very important for a child to use his or her mind as it is very useful  for them in their upcoming future. I totally agree with the point that children are being suppressed to learn loads of books and are going to tutions and institutions everyday, not spending a minute time for their playing or reading novels or story books as it is very important for a child to spend time with their games, friends and story books.               In short we have been educated to become good workers, rather than creative thinkers. We teach children to be a part of a system governing our society uniform,respectful of authority. Scare of making mistakes. Their is a saying called  if your not prepared to be wrong, You will never come up with anything original.Kids aren&#039;t afraid to make mistakes.f they don&#039;t know they&#039;ll take a chance. But by the time they become adults most kids would have lost their ability to think creative ideas or imagine.     It mainly depends on people how they react and explore there knowledge and mainly target their talent instead of education.past research suggests that creativity activities may be therapeutic benefits and enchanted well being. To date little research has however investigation explaining how may confirm its benefits and by helping individuals percieve benefits aftr going thro",3.5
16,1,1_281,"Education is the most important part of our life. without education our life become a hell.In the age of science we all have to study.in the morden age all are things is based on internet ,technology,reserch ,etc these are the things in growth, and without education we cant survive in the country. we all fulfill the basic need of life house,clothes,food...but we cant fullfill the education system.after the freedom(1947) we all have to right to educate himself or educate those people who can not study in shortage of money.   Government is also help those people we cant study but they study with thje help of schloprship, funds free schools and many other things.in previous day girls has no wright to study but now girs or boys both are study parally in the country. education makes me indipendent , makes me how to leave, part of growthing our country,and also how to survive our life..how to secure our life and future for our life and children.education has more good as well as more falts in the earlier age.so we all have to study and educate themselves.there is no limit of study.today all are discover more things by the education, and technology.Eduaction profit1. Growth of people2. Growth of country3. Growth of family4. population control5. rule of thumb should be replace with sign6. time secure7. money secure8.Disadvantage1. miss use of technology2. hackers are hacked the system and trasfering the date from the user3. health issues4.",0.0
17,1,1_9,"Yes,I somewhat agree.In eduactional there are fixed format are given for exam,syallbus are alredy given.The student can understand or learn which are in a book and the teacher should also teach which are given in syallbus.There are no additional information given to the student.So the student also learn only which are given and which are important. But there are many student which has some imagination about the any subject or topic.And they are also interesting to learn many things which are not given in a book.So there are some facility are provied in coolege or educational system where student can create own idea for usThe fixed format given for eduaction is good but somwhat student can create thiere imagination put into teachers mind. There are some room is provided in education where student can organize thiere idea,thiere imagination can be put into teachers.and teacher can understand the students what is he/she exactly want to say and by knowing students idea teachers can provide appropriate knoeledge to the student.It is easy to follow the pattern which are given in educatonal system.But it is also important to know what the student mind imagination.By providing room to the student many student can provide the many idea's.And they are usefull to create new generation.",2.0
18,1,1_192,"Imagination is the most important thing in our life. Everyone should imagine different and important things related to our life. Along with our imagination we should be creative also. Because whatever may be our imagination we should be enough capable of making someting creative from it.Imagination and Creativitythis are most two important things which make our life special and also we get happy on making something which we have imagined. For eg-those who arehaving imagination and also arecreative can make creative things and make a post on utube. Nowadays DIY i.e do it yourself is very intresting and subscribersare enjoyingit.from the waste material many use full n creative as well as attractive things can be made.Our imagination should be as strong as possible ,becauseif imagination is not there we can't make creative things. But nowadays, because of hectic schedule and  tightly defined curriculum of our eduction system we are not getting enough of space for imagination leaving our regular schedule. But in our education system there are so many things which we have to work on .Here our imagination and creativity comes in picture. for eg- we have to make project on some of the topic .we can put our imagination ,what extra efforts can be made so that it will look some thing intresting.By having the imagination we can create some thing creative as well . Insted of blaming the system we can put our imagination and creativity in our daily as well as education system.Imagination and",3.0
19,1,1_248,"I agree to some extent,for imagination and creativity one should be stress full,must have some free time to learn new things,which could be earned when there is not much stress of studies,less practicles and more theories create burden of studies and which in return creates a discomfortable environment. Study must have to be considered as much more intresting,rather than a way to earn levlihood. One can be more creative if he enjoy in what he/she is doing, burden has to be minimal so that one can think out of the box. As a student point of view if there is much burden on us we would be giving most of our time in studies,but for the faith to score good and not to know the science/facts behind it.To imagine something innovative one need's to be stress-less and happy in what he is pursuing,knowledge gained with self interest brings out positive feeling which help to take that matter within one's heart. The more we get spear time the more we can explore this world,a tightly defined curriculum of our education system bind our capabilities. Having fun activities or by giving new opportunities like singing,dancing,sports,etc would relief the student's and he/she would like to go to the institute.",2.0
20,1,1_257,"Education sysytem majorly plays a vital role in achieving and providing knowledge and creating awareness towards different section of the society. As we all know that our education system is tighty covered with curriculum of our basic and proper fulfiled knowledge. Since people slowly but coming to know the importance of education, Especially in lower section of the society where people were not into education at all but because of the awareness it has created alot of buzz. And now almost everyone gets education from the start.But the major problem that is created under this is that nowadays, it has been seen that education system has been left with no creativity and imagination that shows that the doors has been closed with all the opportunities. The buzz that need to be created has been full stopped. same pattern of teaching without and new techniques or any different way to gain the knowledge. We clearly know that people likes to learn with different innovative ideas that they can learn or the can make their own ideas which can create to a environment where people can fully learn the knowledge with open doors. We know that differnt countries has given their studnets the freedom to learn and their use their own ideas that can fulfil their dreams thats why they are successful, but in our country no innovative ideas are used to gain knowledge.But now there should be a full stop to this because if children will be given ample of opportunity to show their skills that can clearly lead to a country where people will be thinking that a good education system can definately lead to a developed countrt",2.5
21,1,1_211,"I strongly agree with the statement that,The tightly defined curriculum of our education system leaves no room for imagination and creativity.  As the whole academic is decided without any suggetions or concederring interests of students it leads a dark hole for the imagination and creativity for the students. The interests of the student is not concidered and only the education process is going, there is no way to imagination and innovations. All the universities in india are in corporating there own protocal which is to be strictly follwed, there is no flexible system in education programs for the students. Due to this unwillingly the students have to do some things which is none of there interets and stress encured to the students is increased and innovation and creativity has gone a long far.the students just follow the rules and work to complete the task given to them they dont think or have imagination of there own in there work. There thinking is some what, We are given a work and we have to complete it with in the given deadline. They dont think what they are getting or learning from that work, how that work or project is helpful for the environment or society. And due to this thinking imagination and innovation comes to an end. But this must change, The education system, The universities and even the students way of thinking. Curriculum should be decided according to the students interests, what they are willing to learn in there stream. The projects assigned to the students mus be of there interest. So that they can imagine and have a craetive idea, and place there interests in there work. When this change will happen there will be a flood of INNOVATION and CREATIVITY in or society and will lead to a better and prosporous life to the people the society.",3.0
22,1,1_320,"Cirriculum Of Our Education System    As we know Cirriculum is the most important thing of our education,it will changing in day to day time.Cirriculum is different for different-different field or deparment.Cirriculum basically defined as the regular timetable or the regular follow things it has to be followed by us as given by the field or department.Cirricuium placed an important role in the life.Every person has its own cirriculyum starting from its day or morning.Cirriculum is simply the timetable based on that we follow the our regular work. As the educational cirriculum is decided by our educational courses or field of study.As it is decide by our college to college there is no any chance for having our own research or field of study.If there is any extra time to do our own research based on your interest the it is good for us to do anything which ou has interest in that thing.So there is no any facility for that you have leave time for doing your own interesting study or research.Based on this I have an idea that every persons give its own cirriculum and submit it to one place and that place the common cirriculum will being filter and according to this all persons go and caught their interest depending upon your selected field of interest. As like this we wont get this answer in future that I am interesting in that field but because of some rules or some reasons I done this.So in this way we change the cirriculum otherwise it is good that our cirriulum is already decided by the field no need to take any tension or pain.It is mandatory that we have to followed the cirriculum only when we having the chance to select the field of study or field of interest.So every education has its own cirriculum,but its our task to select interesting field based on cirriculum or basically the interest.Or instead of that we have to do your own field of interest and based on that make your own timetable or Cirriculum.",3.0
23,1,1_271,Education system has become a very important in our day to day life. Without education we would not be able to fullfill our daily needs.The education system level is increasing day by day and due to which compition level has also increased which leads to students frustation during Admission process in every colleges and schools. This Education system has very less scope of imaginative and creative work space for those students who have very much creative minds full of need ideas.Due to compition level has increased imagination of the students have also become less because of ready made notes provided by faculty of respected institute.Students who have very creative minds are not able to improve there imagination and creativity level due to tough education system due to which they are not able to give time to there creative and imagining mind. Their are very less institutes where such creative minds are made more powerfull and give something new and never scene ideas ever. If the students are doing engineering or medical then there won't be any different things that would entertain them. So importance should not be given only to engineering and medical fields also should be given to Creativity fields and imaginating fields which would bring a balance in our economic growth as well and there would be enough of entertainment shows as well that would be help full for relaxing the frustrated minds.Every field should be equally given importance and keep a balance in our environment as well.Basically Every field is important and is required one or the other day and very much needed in current world which is very vast and fast.Due to which up coming generation can also be very much creative and educative in every manner hence university should promote this fields as well to give a brighter future to every country.,3.5
24,1,1_272,"Education plays an integral role in the man kind from genaration after genaration. Education is not only bounded in books but also it is define by physically. Education always gives us the basic thought about the life. It is compulsory for all to be educated. But imagination and creativity is such a thing which is beyond our education. It certainly move forward the new genaration and mankind.For a student, education is the foremost thing in his daily life. But beyond the boundary of education there is a new area of study new things are imagination and creativity. For a student, I can think that a bookish education always prefare the knowledge which was invented by some one else. But they have no scope to create new things. So for me, Education always give such an oppertunities to do but not to do such things which is beyond education. According to me, Education build presure to a student to do bookish study. But imagination and creativity always to be prefered one of the top most things in daily life. Imagination of new thinking always create new such thing which is never use by anyone and might helps people to do effortless work. I can think about the new technologies in various stream of education. Ican think about various composition of music in musical education, various technical ways for various play like cricket, football etc., various movement of dancing, various creative games in the andriod version. These are never built by anyone and it is always beyond of the daily lifew education.Theyoung genaration always thing about the creative things and it will make successful in their daily life. It will helps us to move forward in the new genaration of education. With that it also helps us to do certain thing in progress with the technological mankind. The new generation always move forward and study beyond the bookish education and always think about the creative things.",3.0
25,1,1_122,"Our education inindia was good,but not that much as required to developed our country. Their is many problems faced by students during doing graduation. Not all students will realize their interest in feild they are good. So their is dificulty for students to take decision in which they want to do carrier.       So from school times their is need to advice student to think on their qualities in which they are good. Their should be focus on each student progress. Not all the school in india were do this. So government should take responsibility of it and find out the solution so that each student can progress in the life. Another thing which is difficult for in education is 'ENGLISH Launguage'. Students faced this problem after 10th when their going for higher education. So their is need teach this language from starting of the school of the child.       Students are going for higher studies in various feilds like technical, science, agriculture, etc. their different universities for different feilds in india. So the basics of feild should be clear of that feild. So their is need to focus on basics things from the students. N OFF",0.0
26,1,1_55,"There are many opportunities for the students to present or express there imagination and creativity.In the Indian education system in every schools they have given classes for creativity,there are classes such as art,craft,music,co-curricular activities,sports etc. In such classes students get a chance to express themselves,they get chance to use their imagination power.In many schools, inspite of studies and exams there are many compeditionslike singings, dancing, drawnig,painting and many more and that is the platform for the students to learn to express themselves in front of others,to gain knowledge,to gain confidence.The schools that have class of co-curricular activities including curriculum are actually stepping forward towards the future of the studens.Including such activities in curriculam with help the studens to choose there career.The studends will get to know in which field they are intrested so that they can do their career in their field of intrest.If in the education system there is no space for co-curricular activites and if the focus will only on studies then there will be no scope for students to express themselves in other fields.By curricular ,studies,exams students will gain practical knowledge, but different activites,indoor games,outdoor games they will gain practical knowledge and activites like art,craft,speech,talks will increase there imagination powerand all this will be very useful in future for there career. Hence I think that if there should be space for co-curricular activites in the curriculum.",3.0
27,1,1_200,Iam strongly agree with this statement tha our tightly defined curriculum of our education system leaves no room for imagination and creativity. We can see the example in both the college and school life. In the School life many boards like ICSE and state boards had alot of syllabus and more than 7 subjects in the primary standards. Students of primary standards in ICSE board used to take bags weighing more then the students weight and this shows the burden of the tight schedules on the students. Schools used to give more and more assignments and homeworks to the students due to which students can't get the time to play and to do extra activities. CBSE board had done alot to minimize the tight curriculum of the studies and it also helped alot in the extra-curriculum development of students of CBSE. Students should given value based knowledge and they should be treated as friends. The new activities involved by the CBSE in place of assignments is giving alot of knowledge related to working projects to the students. As this is the era of technology and one should have the good knowledge of using those technologies. Student should have knowledge to implement the technology into projects and students can do this only when the curriculum of study and syllabus is turned liberal. Another reason is the attendance as in our country attendance is mandatory for the students and this is the only reason behind the less progress of the studentsb of engineering. Engineering students should be forced from their first year to concentrate on value based projects and the value based knowledges. Hence according to me this tightly definrd curriculum of our education system should be turned liberal and students should be given value based knowledge. value based knowledge is compulsory.,3.0
